author_id,time_in_seconds,timestamp,badges,video_offset_time_msec,time_text,author,message
UCXsq9CTUP5qAtAuh4H_M4UA,34,1597516955471486,,34005,0:34,TakingBackJerusalem,TECHNO POG
UC3aPRw-rTiaAIKRhbrZQ7gw,34,1597516955492063,,34025,0:34,HamX,Your screen
UCnWBTFJEfTEkk3GDMPXQSPw,34,1597516955612883,,34146,0:34,Minecraft Lets plays,hi
UCAlCfXp-FJuLOguKAYMI6-w,34,1597516955748094,,34281,0:34,Nicole Jimenez,yo
UCaEEHxow0MP2Q58NWya-Kxw,34,1597516955797923,,34331,0:34,ElenaWolfy,POGGG
UCQ1SBjH_9gwsx947WISQxTg,34,1597516956004879,,34538,0:34,maybeitsright,AYYYYYYYYYY
UCgWbIzHhCLmWh8m64-VQLGw,34,1597516956064578,,34598,0:34,IGNS ST,bruhh
UCNSKfSPxg5pA7j3d2MhMI4Q,34,1597516956163250,,34697,0:34,Manga Reader 831,yes
UC2WVuFFcGxaLPMDBlYFhMgQ,34,1597516956168612,,34702,0:34,LaZe Creed,Bra
UCbsLutWaWuTYR1rhAJ5Z_zQ,34,1597516956217206,,34751,0:34,Klance is canon thankyou,YO
UCE6CNtEuMp0gDiW7pY30aiw,34,1597516956278045,,34811,0:34,tttlol101,yeeeeeeasss
UCWYv5jTNY6Bd6mMR6EB3gdg,34,1597516956344069,,34877,0:34,Aslym,Hi love!!
UCMoYIwovJi1x124A0igJImw,35,1597516956612930,,35146,0:35,FireLightSounds,LIVE!!!
UCSlptJ1152hhis3qz-Wf5lA,35,1597516956684378,,35218,0:35,zach the zoomer,pog
UC1KBALk6VSG8J7BagwkZV5Q,35,1597516956925098,,35458,0:35,bigdaddy_Urtrash,i love you
UCy_A330Rql3j9WxmV233fQQ,35,1597516957014259,,35548,0:35,NOAH ROSE,hewwo
UCiqW64E5OwwwDbcwzm8C2gA,35,1597516957022318,,35556,0:35,Ahmad Basim,Yooooo
UCFeyAASaL_VihfWgpd4POTw,35,1597516957066716,,35600,0:35,TriGN,HIIIIIIIIIIIIIIIIIIIIII
UCsma5TLmEZ7162NWMFett6w,35,1597516957148445,,35682,0:35,WeAreBigPedals,yoooooooooo
UCX5o1qKZ8VZFgWq5KgmbpuQ,36,1597516957539212,,36242,0:36,Landon 543,it has began
UCnsTBXJ4Nx08zGhRkDG7HNg,36,1597516957678436,,36382,0:36,Your Worst Nightmare,HI TECHNO
UCiHq3V9SogtodSdSOggWIYw,36,1597516957727260,,36430,0:36,Michael The Microwave,Omg
UCPSKnUW-toYWTTmD6eDfyZQ,36,1597516958113282,,36816,0:36,Grindiflin,I am so early
UCvxPTSK_x1Nw18r6f_tROIw,36,1597516958222972,,36926,0:36,Totoba S,​​❤ TECHNOSUPPORT 💚
UCIsanlO9OF-ORqIp5pRSlww,37,1597516958297121,,37000,0:37,Piotr Wiśniewski,TECHNOSUPPORT
UCcIDXWQ3igEWNwHyM_FOZPA,37,1597516958620785,,37324,0:37,Mihai Draguța,omg
UC60sFnLUmv7HF01CZjMQuaQ,37,1597516958716655,,37420,0:37,NIGHTMAN,boiiiii
UCqMh9ESJ6AlWnGmtM3METBA,37,1597516958993071,,37696,0:37,ItsFrickenMe,Yeeee
UCgynPIVDKC6shermi01ammw,38,1597516959614182,,38296,0:38,Adeel Ali,heyo
UCM6lkob4l2DQgZSHqPnNIyQ,38,1597516959615575,,38298,0:38,Lizzy Epping,Hiii
UCkMO4zGw5Fi68wYGYti44uQ,39,1597516960419108,,39101,0:39,pleeo,Pog
UCv3Uf6HGmHgXj78B17lxpUA,39,1597516960630788,,39313,0:39,Sandur,POG
UCDplKgsEM1nuP5_1_-MUxVg,39,1597516960745844,,39428,0:39,Dexterity,pog champ
UCh236e9kRrWFqE1r_oAz0nw,39,1597516960991216,,39673,0:39,Mr. Doot,THECHNO POG
UC8pOpk1Q7rZIE-kWCSsRYDA,39,1597516961058219,,39740,0:39,Kouros JAVAHERI,TECHNOOOOOO
UCxgZAhoIXgIntSX7T_K748A,39,1597516961103209,,39785,0:39,XENO_XIN,he have spoken
UCHS3keurbRBXiW6mX2-oRfw,39,1597516961142025,,39824,0:39,Caitlyn Kaye,POGGERS
UCbkyWJPzjN6g4g63zgfS2Iw,39,1597516961293194,,39975,0:39,PuppyGirl0918,YEAAAA
