author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
Sonician4,UCeH8v8o1LMyoqNlO68Awzqw,,allah,357,5:57,1596107259121530,357128
Emr Trn,UCnZI4oQnC2cHuy4DCdN65IQ,,hola,357,5:57,1596107259278832,357285
محمد ارحمی,UC0Fyl3543nxpfBegL3E1kJw,,چه خبره,357,5:57,1596107259398355,357405
Andrea Mereu,UCpFFnuK8aBeXBMkmwznVNnQ,,🔝,357,5:57,1596107259478664,357485
Keith Rodmyk Fajilan,UCIO0Ow77xZbCpI310AyMhJA,,hi everyone,357,5:57,1596107259680088,357687
Dave Jones VO,UCuJVHRP-irdPX1AARqotWlQ,,Wholesome content 🙌🏻🙌🏻🙌🏻,357,5:57,1596107259752886,357759
JoJo. exe,UChjP5oP_4GpQNfvpm3dsP6A,,:washhands:,357,5:57,1596107259830135,357837
ismiyati imi,UCwD4EegsuOiJg4w_yDVHNRA,,CANT WAIT TO SEE,358,5:58,1596107260136182,358143
Desilfanny Kurnia Putri,UCUygPvr2lUgzKL8QvVTOC0w,,from Indonesia,358,5:58,1596107260303454,358310
Ally Wu,UCRijVH01CAo9J1sOk4DPxpw,,Hewwo!!,358,5:58,1596107260577816,358584
TheGodzillafan 72,UCnxGA8O1A4dVcd4LCvA4rIQ,,they find,358,5:58,1596107260890532,358897
RO0NDA,UCD34otGkwawhgdtgp-l9-XA,,Hello,358,5:58,1596107260901187,358908
Mrinal GM,UCHXWyhMMNN_xpKlVJdRiwKA,,😂😂😂❤️,361,6:01,1596107262052642,361427
Munch_Playz,UCp161-7EsDK3bXPnr9YzVDQ,,hello,363,6:03,1596107264218198,363592
Ian Labadan,UCNykqMcsl07uq0ESLYPZJYQ,,To INFINITE AN BEYOND,363,6:03,1596107264292500,363666
Venice Venter,UCgjQ3SPWzIv9VkrewLl2i-A,,Hello from South Africa,363,6:03,1596107264336190,363710
Tarita Karhulahti,UCAKxPBLktLog1zVHrS1_4Zw,,Moi Riku ❤️,364,6:04,1596107264656090,364030
avishka dilshan,UCE2b3D8IWbtEd1SKDyxft3w,,🙂,364,6:04,1596107264752214,364126
Cristián peña rubio,UCZExI9wRSyjKHcxrdc-7J0w,,Hola,364,6:04,1596107264903037,364277
zMetehqn_TG,UCceVV8Q2HSbhIaQSwA0qTfA,,sa türkler,364,6:04,1596107265063732,364438
Gowtham Reddy,UCrpj091KBvevMAJfDczionQ,,hellooo,366,6:06,1596107268085589,366072
Leo,UChpXfpqHHUuodi8MxrOC3QA,,hi,366,6:06,1596107268118987,366106
GaelCar07,UCfZawhznrW2dBKSJ2W1Tdvg,,NASA SALUDOS DESDE MEXICOOO!!!!!!!,366,6:06,1596107268297492,366284
unknown human,UCLaBwyejYErZvOnzpYzY43Q,,:),366,6:06,1596107268439315,366426
Telstra Kid,UCxFwOT-x-kh4IP-9gTIu5pQ,,hi from australia,366,6:06,1596107268530104,366517
RamadhanAji,UCUKInW6FfdHqYBA-h6tQgyg,,:stayhome::yt:,366,6:06,1596107268570667,366558
Rojan Quimba,UCYU4K8ZCvBcruevVxi6JvyA,,Philippines!!!,366,6:06,1596107268586947,366574
ELSY LOREY VALLADARES CASTILLO,UCoyWKHV8soKsL4BJC5Pkc1w,,From Spain,367,6:07,1596107269207777,367195
Garv Salgia,UCh7mXcQEtJYthp06zOxbYuA,,hi,367,6:07,1596107269211879,367199
kartik vyas,UCZMFI9NeIpqctRoA9vlIdLA,,HELLO FROM INDIA,367,6:07,1596107269337072,367324
Angelica Therese Pacapac,UC12M6Zp6yVeL3TcN3YicFUg,,leeeezgo,367,6:07,1596107269568965,367556
sang vu,UCR-9r3slho4gYUNXkWSELcg,,This is to be expected,367,6:07,1596107269638486,367625
Debjyoti Dutta,UC-_xr-C0Px16qrl7_RQLM5Q,,EARTH I AM FROM EARTH,367,6:07,1596107269834367,367821
viniskrrr,UCN6dqVVaFegoLR_wtJkTXPA,,QUEEEEEEEIMA QUENGARAAAAAAAAAL,367,6:07,1596107269846422,367833
man tank,UC4FepdZAxhiRV5HTNToAOYA,,你好,368,6:08,1596107270439965,368427
Busayo Jacobs,UCfdGhwcV_fqE52scP2_DYqg,,Hi from Nigeria,368,6:08,1596107270453029,368440
Doberman,UCN44khBTkAeCaglJhzRGfDA,,🐾🐾🐾🐾🐾👅💦,368,6:08,1596107270566736,368554
Areo Pagus,UC7rTN_j8ZYkVPRYkipao4nw,,hi,368,6:08,1596107270674676,368662
tyla Keoghan,UCbiP622S1uD4FC5LTEPS9sQ,,BESTIE ARE YOU HERE??????????,368,6:08,1596107270876709,368864
Sadananda Sahu,UCgecn9VEP3t1S3AXoJ3U0JA,,high from india,368,6:08,1596107270927441,368914
Sidratul Amin Tonmoy,UCCuPiuxqXtigMTXbatjA_eQ,,Hello,369,6:09,1596107271106985,369094
Johan Van den Bogaert,UCunUQwdBhVp9Jbf1T9oTSNQ,,Vikings!,369,6:09,1596107271309881,369297
Star Trekking,UC9pDUaEurJZbw-iDhn8GIvw,,Ready for take off ! My name is on Perseverance,369,6:09,1596107271401111,369388
Rodolfo Ramos,UCIeawHacv2Db4TXyn8nhFiQ,,BR,369,6:09,1596107271470314,369457
Marion Bray,UC8DBVGbGGgDCOTUs5c0r4Pg,,Yaaaaay!!!!!,369,6:09,1596107271775210,369762
Rich Smith,UC_jycTd5hutwn2kPX63HOXw,,Yo,370,6:10,1596107272544795,370520
Nabil Zikry,UC8NBR79BxOaS9jYmxgPTysg,,:shelterin:,371,6:11,1596107273575397,371551
Vânia Amaral,UC0Z7JZ7cXpNz1Nh5en0Rj0w,,Hello from Brazil!,371,6:11,1596107273592155,371568
Sepp,UCeA9clWfHlcuuDy3SURKXfg,,Hello,371,6:11,1596107273725404,371701
Lutzki 20,UCg88BjIwW4iPNsJj15CbN5w,,#abkarmy,371,6:11,1596107273793596,371769
Siemon Gaming,UC5o67SAX8EfSMk7ThaAgh6A,,hi,372,6:12,1596107274340023,372315
Jan Mejer Rasmussen,UCPA5n23CbvZi_aXdb3Gw9dw,,say hi,372,6:12,1596107274411274,372387
taichouno8,UC9HRhzf-89G4TDukuUPZHKQ,,Good morning from Los Alamos New Mexico!! 💖,372,6:12,1596107274503398,372479
RoX MaMbA OP,UCqMU3B6WsIrpkBw8LoRYIrw,,hello from NEPAL,372,6:12,1596107274601169,372577
Rithesh Murarishetty,UCcXOzcJyYAc85KXA8h7nqAg,,best of luck,372,6:12,1596107274865940,372841
Abhishek Thakur,UC7aBypkpq1XLRFQGspZxexA,,GOD SPEED GO NASA,373,6:13,1596107275194790,373170
Ravibabu vadde,UCUAjqHN1eOVf1ZlHR8sGtgA,,make me ur frnd,373,6:13,1596107275418344,373394
「Itz _ Miss Yuri」,UCGxccnLXN_UWEs-QM7DG-mQ,,OMg hi,373,6:13,1596107275540688,373516
BAYEZIT ALPARSLAN,UCoInB-49hfehOi9J4y8vaqw,,hello,373,6:13,1596107275623555,373599
FF Buran,UCGXO6UIg-feu8-4PW46zJDQ,,Привет папа,374,6:14,1596107276440945,374416
Sakshi Singh,UCmiv6falQSo4iQLV6jy_TcQ,,hey any indian???,375,6:15,1596107276686697,375307
Zaki,UCBkG1j1-Vwem6yUSdmVyKQw,,Hi form Indonesia,375,6:15,1596107276717041,375338
word,UC7Nw5Z2i9sMzPR4oME-6AwQ,,hello from Philippines,375,6:15,1596107276770778,375391
Gesshoku01,UCQ6spMnVLjrzFV62y7TLZkQ,,LETSGOOOOOO!!!!,375,6:15,1596107276867610,375488
IGNACIO BARAJAS MÁRQUEZ DE PRADO,UCj2hbdsHBPC1Df0IxSXzAxg,,😍😍😍😍😍😍😍😍😍,375,6:15,1596107277095468,375716
Irwan Septiadi,UCIkTUDdJ8_-zsOtSfEG2uIQ,,BISMILLAH,375,6:15,1596107277111426,375732
AstroPC 96,UCBluK12-dE4Iu_pdAUwVxrA,,Awesome!!!! Have great success11,376,6:16,1596107277506154,376127
CHALO SIKHTE HAI,UCSTSQAmndxRvX07RAeS-sLw,,Hello from mars,376,6:16,1596107277673381,376294
Abhiraj Ranjan,UCJlhY8bgX-Uk3i_XJbbup8g,,Good Luck Perseverance,376,6:16,1596107277782813,376403
Alix Tv-,UCQmDkSsgEwVZh7IyDPdJiHA,,im from french,376,6:16,1596107277808905,376429
MOHAMMAD REZA M.R.M,UCt23gV57mXQmHFSCyu0zV3A,,mars,376,6:16,1596107278157748,376778
xiaolai zheng,UC2Y6cDuSH3ZR0IJeGH69G_g,,waiting anxiously,376,6:16,1596107278175114,376796
immi's snow globe,UCEowB7p-VT1iRJfcBJKsUMg,,fingers crossed they find ancient life,376,6:16,1596107278253807,376874
abhishek kumar,UCsA8hq1Wa6iZxhDplOQvuMA,,india,376,6:16,1596107278321788,376942
Xage,UC8b7cNhbZKe5Q-lQmUXw9kA,,hi,377,6:17,1596107278583535,377204
Mikuláš Senko,UCeoyjHZBQVo1DY2uEy9oV0w,,13 minutes to go,377,6:17,1596107278608906,377229
