author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
ZanderWithaX,UCa7qsxBmlArzu_9tXhbuU2A,,🐷🐷🐷,621,10:21,1598724754155656,621232
TheGamingTopHat,UClq4637HOrKjYThnfbfEKoA,,💚💚💚💚💚💚💚💚💚💚💚💚💚,621,10:21,1598724754234692,621311
Lucky,UCoAV_4eAGAzcY65CjH5FVcg,,TECHNO IS GOING WIN,621,10:21,1598724754340214,621417
Carline Hjardemaal,UCGsbaf0bFQCZZLwyziMSi0Q,,​​💚Dream Team,621,10:21,1598724754408838,621485
Mlado MK,UC-WgUPTZ3rw9h1QfNzS07dw,,Let's go DREAM,621,10:21,1598724754465622,621542
John Thomas Perez,UCIOjfBPAGmRNTgh5BPsKmOw,,DREAAAAAM,621,10:21,1598724754467580,621544
SilverTomahawk 67,UCBhn4hIi8GKvjU4dNko77Xw,,❤️TECHNO SUPPORT❤️,621,10:21,1598724754486373,621563
Less Cringey Mapper Dude,UCR4_sGgYCJ19imiGjhXpPYA,,I SIMP FOR DREAM,621,10:21,1598724754607876,621684
canned bean,UCcw4VLBYpAdm2ql61Jjhirg,,❤TECHNOSUPPORT❤,621,10:21,1598724754702996,621779
Florin Baiatfin,UCaNsLV9R3Yd9FBMrxnvo5mg,,❤TECHNOSUPPORT❤,621,10:21,1598724754876099,621952
darth beanus,UC0p_20OyWi19_4GaT-Mwf0g,,LETS GI DREAM TEAM AND TECHNO SUPPORT💚❤💚❤💚❤💚❤💚❤💚❤💚❤💚❤💚❤💚❤💚,622,10:22,1598724754968223,622045
Arnav S,UCzJqBkns6jRRt4H_VSxA0lg,,DREAMMMM,622,10:22,1598724755071805,622148
Abeurrito,UCGob25Ji6g-gJWsRgA8-3fA,,TECHNO SUPPORT,622,10:22,1598724755152504,622229
Cap TechRuby,UC4ocWXHmKKhK0ljSHsC8OVA,,g,622,10:22,1598724755170244,622247
Lukas Kim,UCB5ZQPpXKinJDUgVapo9eRA,,❤TECHNOSUPPORT❤,622,10:22,1598724755232648,622309
Niek ツ,UCgsmUU44vZ0_RISeeKqow8Q,,💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,622,10:22,1598724755233305,622310
Šimon Herda,UCsU5j1AgvnWQGxuGl3-skYQ,,❤ TECHNOSUPPORT ❤,622,10:22,1598724755498271,622575
nOob _,UCAsh72e3Es5VITlN_tTl1ww,,💚DREAMTEAM💚DREAMTEAM💚,622,10:22,1598724755555794,622632
Cash Parry,UC1fGee_NE8oEf06FYVFWDqQ,,Dreeeeeeeeammmmmmmmmmmmm,622,10:22,1598724755693740,622770
Arctix Phoenix,UCMX-6k3QC67QbTLpWWZK0Rw,,Let’s go dream,622,10:22,1598724755916237,622993
app977,UCNTunIuva9sbJzovHwWCSkA,,TECHNOSUPPORT,623,10:23,1598724756012053,623088
MihaiROYALE,UCUG7SNr-lSFAnHCcgoMS7YQ,,Drea will win,623,10:23,1598724756187802,623264
Reaper plays,UCm1Vtx4NATyBxAIFSQ2J9Mg,,hmmmmm,623,10:23,1598724756231937,623308
