author,time_in_seconds,time_text,timestamp,author_id,amount,message,ticker_duration,video_offset_time_msec,header_color,body_color
johnzero7,93,1:33,1600376520629651,UC2nXxw8-acfSAdJD4RaPpwA,ARS 100.00,WOW 300K !!!! Congratulations!!!!!,,93828,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
johnzero7,93,1:33,1600376520629651,UC2nXxw8-acfSAdJD4RaPpwA,ARS 100.00,WOW 300K !!!! Congratulations!!!!!,300,93828,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
れふぃ,94,1:34,1600376520859341,UCdL_VfAQPcw0b40wBv1snKQ,¥610,I love it very much and will continue to support you.,,94071,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
れふぃ,94,1:34,1600376520859341,UCdL_VfAQPcw0b40wBv1snKQ,¥610,I love it very much and will continue to support you.,120,94071,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Justin 163,94,1:34,1600376521636489,UCnYzmzxLWRnPEYL5iDvFvmA,A$5.00,🦈 Shrimp for shaaark 🦈,,94676,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Justin 163,94,1:34,1600376521636489,UCnYzmzxLWRnPEYL5iDvFvmA,A$5.00,🦈 Shrimp for shaaark 🦈,120,94676,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Anime Dave,96,1:36,1600376539212972,UCEwe1WhKzCzfYU5rUTdbxMw,$5.00,Shrimp fund,,96575,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Anime Dave,96,1:36,1600376539212972,UCEwe1WhKzCzfYU5rUTdbxMw,$5.00,Shrimp fund,120,96575,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Adexo,97,1:37,1600376524643782,UCc6Va6LZTUM38c95CRMeOCQ,PLN 25.00,Let's gooo,,97769,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Adexo,97,1:37,1600376524643782,UCc6Va6LZTUM38c95CRMeOCQ,PLN 25.00,Let's gooo,120,97769,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
