timestamp,author,time_in_seconds,message,time_text,badges,video_offset_time_msec,author_id
1597882564772266,Champions Club Mail Carrier,12792,EZ PZ,3:33:12,New member,12792080,UCIjgqpDV3TLfcjlFDDpKNbg
1597882566437458,Han Dolo,12793,Cheapest way to play it right now is $15,3:33:13,New member,12793762,UC-ux81u1AGz6y70LnzPyudg
1597882566666253,Mason Williams,12793,closed beta is something that is limited to select few,3:33:13,New member,12793991,UCc_m5-YuTfC4PtQqVoHeDTA
1597882568876032,Dan The Body,12796,It's not a complete game without the ARENA Doc:_Handshake:,3:33:16,New member,12796214,UCOv_aPmVv7_oCMH8dxkHt0Q
1597882569963144,Andrew Alexander,12797,Get up bro :_Giggles:,3:33:17,New member,12797301,UC-nLZcHvH-7VOp9IDeTyKFg
1597882571364434,Andrew Minnich,12798,Do the rest of you realize how awesome we all are? champions club,3:33:18,New member,12798653,UCe0yoyLdlFEheOtWTaVe3Uw
1597882571565283,Mason Williams,12798,this is an open beta,3:33:18,New member,12798854,UCc_m5-YuTfC4PtQqVoHeDTA
1597882572027193,Dollinski,12799,I feel like Strikeout offers more VSM,3:33:19,New member,12799316,UCrcV-fBcBRd6-8t93J5p4Xw
1597882572311222,Feddy,12799,just better,3:33:19,New member,12799600,UCExvNRWSgUaYs9lbqXLKDCw
1597882573266437,Ewan,12800,healed,3:33:20,New member,12800555,UCwBMIgDbKytz52ECUPPG-Zg
1597882573671593,R3ZZYY,12800,l0l,3:33:20,New member,12800794,UCw9v3O3pDYNac5dLpXlECtw
1597882574164360,Nightbot,12801,@cody green -> Sometimes I even amaze myself. [stop spamming symbols] [warning],3:33:21,"Verified, Moderator",12801287,UCSvjQBDgYDB5TGVmCZObcwA
1597882574313882,kingjappyjoe420,12801,I would never play this game if it didnt sponsor Doc lol,3:33:21,New member,12801436,UCli7CSJDZHmmQe4Pdk1ZhIg
1597882574526485,PHILMSTOCK,12801,I’m watching her flank,3:33:21,New member,12801649,UCrPaTQO2eqJDrwvdrGetfsQ
