amount,author,author_id,badges,body_color,header_color,message,ticker_duration,time_in_seconds,time_text,timestamp,video_offset_time_msec
,Kaylaaa,UCcea7Aye6MLgRjoxK4vHnUg,,,,oh hey❤️,,142,2:22,1597517063400537,142064
,Lukas Reinhardt,UCdLe8yGJeTXtFh_TYrjddOA,,,,Late,,142,2:22,1597517063416789,142080
$9.99,Luna Lee,UCtbiTuhV1xGeMERAlo2RREg,,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}",Money for Technoblade,,142,2:22,1597517063510087,142174
$9.99,Luna Lee,UCtbiTuhV1xGeMERAlo2RREg,,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}",Money for Technoblade,300,142,2:22,1597517063510087,142174
,Martin Simons,UC8lJo53nXVxlzVdtBfWZ8Ew,,,,late,,142,2:22,1597517063842814,142506
,John Meo,UCrGvRa_UYmUNgVX7brhQAhw,,,,LATE,,142,2:22,1597517063884403,142548
,Jared Zuniga,UCzB7bHUaEcpefyNcwuoujhg,,,,late,,143,2:23,1597517064640617,143304
,ZERØ,UCQmqkS_08hi4UwL_Ta-MngA,,,,💚Dreamblade❤,,143,2:23,1597517064724900,143388
,mewi,UC_8_fb_t3RdnKEMHS_QhCLQ,,,,late,,143,2:23,1597517064827692,143491
,Solvorine,UCqj3Bw8YOwwlE-SlcgZ3_sA,,,,late,,143,2:23,1597517064851441,143515
,Emma star,UCUJKOsnnwaQJylAQc9TTC-w,,,,LATE,,143,2:23,1597517064989138,143653
,Haoran Xia,UC3aWJh49LQD_tEYmFHB4V0g,,,,late noob,,143,2:23,1597517065037868,143701
,katie,UCHySmYcK6KYf8JR1t2bbJVg,,,,❤ TECHNO SUPPORT ❤,,143,2:23,1597517065045523,143709
,IAmPlayz,UCsdZqxgx8daIcdu3Wb6odwQ,,,,late,,143,2:23,1597517065145297,143809
,Sheku Kamara,UCvTPm6br1AjJ3y5dEpcUa4g,,,,late,,143,2:23,1597517065147390,143811
,Mobolaji Shonde,UC5D6fjWNfVUFW4opj_gHFPw,,,,late need,,143,2:23,1597517065265494,143929
,Zingdubbs 8,UCBSWCtz9Ngxre-r_UeUmk7g,,,,Late,,143,2:23,1597517065270115,143934
,mctripleA YT,UC3oJZlrNKDDPk9pDQqSm3Vg,,,,LATE,,143,2:23,1597517065322624,143971
,Kieran Stockham,UC2krFLQwO595n0HtUNuVwUA,,,,late,,144,2:24,1597517065551481,144200
,Hadi Quran,UCcYJ2Tn9jia4zojuT1YnhEw,,,,Late,,144,2:24,1597517065721428,144370
,SirSnako,UCP9MmXVXNn8Es0a5HkmlfzA,,,,LATE,,144,2:24,1597517065722176,144371
,Luca Latorre (student),UCWzG5-y5ENZLNpSriHTTD4Q,,,,late,,144,2:24,1597517066124023,144772
,Casey,UC9W3HcRCiwEOZ8QM8mszvaQ,,,,1 HOUR LATE,,144,2:24,1597517066237034,144885
,deecdeec 334,UC966LKlQabbWvRCT8WPY4nQ,,,,late,,144,2:24,1597517066237491,144886
,Dis Lil Cup,UC7_e0vzGcaGCU8EyZxCe0cA,,,,ANIME IS AIRING,,144,2:24,1597517066281534,144930
,0ofz1 111,UCHEkbjtnTqGYaGN42uu2gYA,,,,late late late late late late LAAAATE,,144,2:24,1597517066292246,144941
,יובל לייפר,UCo_jdwTqfiQ0vjlNbPI0Spg,,,,late,,144,2:24,1597517066318015,144966
,Alex.Rivera.,UCPVaCkIab8LGs_EI43-73_Q,,,,early,,144,2:24,1597517066331189,144980
,shawdow 6789,UCRiJ_VY6BExs5rwkolBPjlQ,,,,Late,,145,2:25,1597517066373838,145022
,Owen Isdell,UCwr7iy700pr87Mg6MypRXZw,,,,Lmao,,145,2:25,1597517066400391,145049
,GenericHobo,UCjghoh-944xzcR6NfcgZdEA,,,,late,,145,2:25,1597517066494462,145143
,Patrick Byrtus,UC3nzdOWB3EgrlyKcumc6C9A,,,,late,,145,2:25,1597517066505138,145153
,MR Microwave,UCAdJjAOa-GG9hoOAWLRIjWg,,,,not late,,145,2:25,1597517066701142,145349
,Yusuf Dahir,UCb5lxfq2YxcY4F08eFqoRiw,,,,Ima watch Dreams point of view,,145,2:25,1597517066790256,145439
,Julio Saez,UCzfNGnT9qhAs_QToLzQVY-g,,,,Fix stream,,145,2:25,1597517066804537,145453
,Mattia Daniel Platania,UCJ0DAXImyb7GHwnL-xTwHXQ,,,,LAAAAATE,,145,2:25,1597517066908208,145557
,Shadow Moon,UCxIaZX3mUZvTGrVnm35QKEQ,,,,Late,,145,2:25,1597517066948036,145596
$2.00,FireFluid,UCaPQzdXFMN8Yw3RNwxTCywA,,"{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}","{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}",Hehe jai I can donate and u can't ,,145,2:25,1597517075663818,145992
,Crackle Crack,UCQ3wcqy-FNBUcdtfCvL3Iiw,,,,hellooo,,146,2:26,1597517067365583,146003
,Nick Highfill,UCy7b6Z0vmc-3v5_Jee7e_pw,,,,Late,,146,2:26,1597517067578575,146216
,Heebo 120,UCz7CThdOo8R1i50X45nu5JA,,,,Late,,146,2:26,1597517067591796,146229
